ID;lat;long
1363X;432646N;075141W
1387;432157N;082517W
1387E;431825N;082219W
1390X;431213N;084239W
1393;430938N;091239W
1399;430327N;090249W
1400;425529N;091729W
1406X;425607N;085937W
1410X;430216N;080120W
1428;425317N;082438W
1435C;424801N;085234W
1437O;424314N;085524W
1442U;423838N;085332W
1473A;424418N;083738W
1475X;425234N;083321W
1476R;424459N;084253W
4007Y;385757N;024442W
4091Y;391543N;023533W
4096Y;390100N;022920W
7066Y;382335N;021308W
7067Y;380518N;022447W
7072Y;381742N;021738W
7096B;383231N;014211W
7103Y;383517N;014122W
8178D;390020N;015144W
8191Y;391155N;012608W
8198Y;385102N;010347W
7244X;380404N;005853W
7247X;382359N;010217W
7261X;380517N;004255W
8008Y;383437N;005156W
8013X;382312N;004528W
8018X;381715N;004050W
8019;381658N;003415W
8025;382221N;002939W
8036Y;383306N;000800W
8050X;384701N;001004E
8057C;385048N;000706W
8059C;384239N;002736W
5060X;375139N;021341W
6277B;364450N;030114W
6291B;364629N;024847W
6293X;364113N;024206W
6302A;370829N;024647W
6307X;370159N;025445W
6325O;365047N;022125W
6329X;364319N;021135W
6340X;371044N;014900W
6364X;372424N;020905W
6367B;372326N;015637W
1044X;430328N;023522W
1060X;430301N;030020W
9060X;425231N;031354W
9073X;424947N;022135W
9091R;425219N;024400W
9122I;423609N;024629W
9145X;423402N;023758W
9178X;424014N;022046W
1179B;431840N;045110W
1183X;432513N;044453W
1186P;431600N;050709W
1199X;432240N;052348W
1203D;432933N;051450W
1207U;433123N;053716W
1210X;433921N;055055W
1212E;433401N;060239W
1221D;425843N;054635W
1223P;430758N;054922W
1226X;430543N;052837W
1234P;431630N;054909W
1249X;432112N;055227W
1272B;431725N;062312W
1276F;430600N;061525W
1279X;432530N;061351W
1283U;433409N;062812W
1302F;425719N;062821W
1309C;430139N;065306W
1327A;432756N;064024W
1331A;433129N;070153W
1341B;432456N;070340W
1542;425939N;062451W
2430Y;403236N;050239W
2444;403933N;044048W
2453E;404944N;044431W
2456B;410417N;044348W
2512Y;405256N;050107W
2811A;402102N;050835W
2828Y;402119N;053109W
3319D;402023N;050046W
3337U;402803N;042721W
3422D;400821N;051841W
4244X;391010N;050344W
4260;382847N;053439W
4325X;384255N;053248W
4340;390612N;052741W
4358X;385720N;055250W
4386B;381354N;060101W
4395X;383306N;061824W
4410X;385457N;062308W
4427X;382533N;062612W
4436Y;384120N;062140W
4452;385300N;064850W
4464X;391055N;065943W
4468X;391036N;063603W
4478X;385315N;070029W
4486X;384151N;070504W
4489X;382905N;071655W
4492E;382835N;065522W
4497X;382220N;070929W
4499X;380453N;061619W
4501X;381232N;061841W
4511C;381755N;064554W
4520X;381042N;063942W
5473X;381604N;054110W
0061X;412501N;013109E
0066X;411949N;014037E
0073X;411438N;015109E
76;411734N;020412E
0092X;420605N;015127E
0106X;415159N;015221E
0114X;420025N;020136E
0120X;414848N;020543E
0149X;414312N;015025E
0158X;413540N;015021E
0171X;413444N;013704E
0194D;412429N;015305E
0201D;412326N;021200E
0201X;412230N;021026E
0222X;413646N;021006E
0229I;413125N;020611E
0244X;413018N;022145E
0252D;413515N;023224E
0255B;413903N;024149E
0260X;414536N;022552E
0341X;415049N;021321E
349;415534N;021903E
1055B;432237N;023037W
1056K;432033N;024016W
1057B;432714N;024510W
1059X;432230N;030118W
1064L;430544N;025137W
1069Y;430557N;023839W
1074C;431210N;024222W
1078C;431050N;031235W
1078I;431212N;030617W
1082;431753N;025421W
1083B;431647N;031007W
