w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,coords
7.6,7.6,7.199999999999999,7.200000000000001,7.6,7.6,7.8,7.8,7.6,8.0,8.200000000000001,8.0,8.0,8.600000000000001,8.600000000000001,8.600000000000001,9.0,9.0,9.0,9.0,9.4,9.4,9.4,9.4,9.4,9.0,8.600000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.600000000000001,8.600000000000001,8.600000000000001,8.600000000000001,8.600000000000001,7.8,8.600000000000001,8.600000000000001,9.4,9.4,9.4,9.4,8.600000000000001,9.0,8.4,7.8,7.8,7.200000000000001,7.6,7.6,7.8,7.8,7.8,"(40.95806,0.87139)"
7.0,7.0,7.0,7.0,7.0,7.0,7.199999999999999,7.6,7.4,7.4,7.6,6.800000000000001,7.6,7.200000000000001,8.600000000000001,8.600000000000001,8.200000000000001,8.8,8.8,8.8,8.8,9.2,9.4,8.8,9.4,8.600000000000001,8.600000000000001,8.600000000000001,9.0,8.600000000000001,9.0,8.600000000000001,9.0,9.0,8.600000000000001,9.0,9.2,9.0,9.4,9.0,9.0,9.0,9.0,8.600000000000001,7.4,7.200000000000001,7.6,7.199999999999999,7.0,7.199999999999999,7.6,7.199999999999999,7.0,"(41.21389,0.96333)"
7.6,7.0,7.4,7.2,7.2,7.2,7.6,7.6,7.2,7.6,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.8,8.8,8.8,8.6,9.2,9.0,9.2,9.2,8.8,8.200000000000001,8.4,8.0,8.0,8.0,8.0,7.6,7.6,8.0,8.0,8.0,8.0,8.4,8.4,8.4,8.8,9.2,8.4,9.2,9.2,8.8,8.0,8.4,7.800000000000001,7.4,7.6,7.4,7.6,7.4,6.8,"(41.14972,1.17889)"
7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.600000000000001,8.600000000000001,8.200000000000001,9.0,9.0,9.0,9.4,9.4,9.4,8.600000000000001,9.0,8.600000000000001,8.600000000000001,8.200000000000001,8.600000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.600000000000001,8.200000000000001,8.600000000000001,8.600000000000001,8.600000000000001,9.4,9.4,8.600000000000001,9.4,9.4,9.0,9.0,8.600000000000001,8.200000000000001,7.8,7.8,7.8,7.8,7.8,7.8,"(41.12389,1.24917)"
7.0,7.0,7.0,5.6000000000000005,6.8,6.8,7.199999999999999,7.199999999999999,6.8,7.2,7.6,7.200000000000001,7.6,7.6,7.6,7.6,7.200000000000001,8.200000000000001,8.6,8.6,8.8,8.8,9.2,9.2,9.2,8.4,8.4,8.8,9.2,8.4,8.4,8.4,8.8,8.8,9.2,9.4,9.2,9.2,8.8,8.8,8.0,8.0,8.8,8.0,7.4,7.6,6.6000000000000005,7.199999999999999,7.199999999999999,6.8,7.199999999999999,7.0,6.8,"(41.41694,1.51917)"
7.399999999999999,7.399999999999999,7.399999999999999,7.0,7.8,7.399999999999999,7.8,7.8,7.8,7.8,8.200000000000001,7.8,8.200000000000001,8.200000000000001,8.600000000000001,9.0,8.200000000000001,9.0,9.4,9.0,9.4,9.4,9.4,8.600000000000001,8.600000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,7.8,8.200000000000001,8.200000000000001,8.600000000000001,8.200000000000001,8.200000000000001,8.600000000000001,8.600000000000001,9.0,9.4,9.4,9.4,9.0,9.0,9.0,8.600000000000001,8.200000000000001,7.8,7.8,7.8,7.8,7.8,7.399999999999999,7.399999999999999,"(41.33028,1.67694)"
7.399999999999999,7.399999999999999,7.399999999999999,7.399999999999999,7.8,7.399999999999999,7.399999999999999,7.8,7.8,7.8,7.8,7.000000000000001,7.8,7.8,7.8,8.200000000000001,7.8,9.0,9.0,9.0,9.0,9.4,9.4,9.0,9.4,8.600000000000001,8.600000000000001,8.600000000000001,8.600000000000001,8.600000000000001,8.600000000000001,8.600000000000001,8.600000000000001,8.600000000000001,9.0,8.600000000000001,9.4,9.4,9.4,9.4,9.0,8.600000000000001,9.0,9.0,8.200000000000001,7.8,7.4,7.8,7.8,7.8,7.8,7.8,7.399999999999999,"(41.24389,1.8525)"
7.0,7.0,7.2,7.000000000000001,7.2,7.0,7.4,7.4,7.2,7.2,7.4,7.4,7.800000000000001,7.4,7.800000000000001,8.0,7.800000000000001,8.6,8.6,8.6,8.6,9.0,9.0,8.6,9.0,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,7.800000000000001,7.800000000000001,7.800000000000001,7.800000000000001,8.200000000000001,8.200000000000001,8.200000000000001,7.800000000000001,8.6,9.0,9.0,8.200000000000001,8.6,8.8,8.6,8.200000000000001,7.800000000000001,7.800000000000001,7.4,7.4,7.4,7.4,7.4,6.8,"(41.29278,2.07)"
7.0,7.0,7.0,6.2,7.399999999999999,7.0,7.399999999999999,7.399999999999999,7.399999999999999,7.199999999999999,7.8,7.8,7.8,7.4,7.8,8.600000000000001,6.6000000000000005,8.4,8.8,9.0,8.8,8.600000000000001,9.0,8.0,9.0,8.600000000000001,8.0,7.6,7.6,8.0,8.200000000000001,8.200000000000001,8.0,8.200000000000001,7.8,9.0,9.0,9.4,8.600000000000001,8.600000000000001,9.0,8.600000000000001,8.600000000000001,7.8,7.8,7.399999999999999,7.0,7.399999999999999,7.399999999999999,7.0,7.399999999999999,7.0,7.0,"(42.10139,1.8575)"
7.399999999999999,7.399999999999999,7.399999999999999,7.399999999999999,7.399999999999999,7.399999999999999,7.399999999999999,7.8,7.8,7.8,8.200000000000001,7.8,8.0,8.200000000000001,8.8,8.8,8.4,8.8,9.2,8.8,9.2,9.2,8.4,8.4,8.0,8.0,7.6,7.6,7.6,7.199999999999999,7.199999999999999,7.6,8.0,8.0,8.0,8.4,8.8,9.0,9.4,9.4,9.0,9.0,9.0,8.600000000000001,7.8,7.8,7.399999999999999,7.399999999999999,7.399999999999999,7.399999999999999,7.399999999999999,7.399999999999999,7.399999999999999,"(41.86639,1.8725)"
