ID,name,province,municipality,altitude,gradient,distance,mountain_slope,technical_difficulty,url,peak_coords,photo
0,Angliru,Asturias,Santa Eulalia,1570,1423,18.0,7.0,528,https://www.altimetrias.net/aspbk/verPuerto.asp?id=257,"[-5.94178,43.221596]",
1,Gamoniteiro,Asturias,Pola-Cobertoria,1772,1465,15.0,9.0,492,https://www.altimetrias.net/aspbk/verPuerto.asp?id=468,"[-5.923458,43.18786]",
3,Ancares,Lugo,Sª Morela-Balouta,1670,1355,36.0,3.0,427,https://www.altimetrias.net/aspbk/verPuerto.asp?id=297,"[-6.818333,42.868532]",
4,Pajares-Cuitu Negru,Asturias,Campomanes,1843,1466,25.0,5.0,394,https://www.altimetrias.net/aspbk/verPuerto.asp?id=752,"[-5.788388,42.96824]",
5,Puerto Camacho,Granada,Órgiva-Los Tablones,1873,1551,20.0,7.0,384,https://www.altimetrias.net/aspbk/verPuerto.asp?id=417,"[-3.3678194,36.8412261]",
6,Morredero - Portillinos,León,Ponferrada,1946,1436,33.0,4.0,378,https://www.altimetrias.net/aspbk/verPuerto.asp?id=275,"[-6.460883,42.36657]",
7,Navacerrada-Bola Del Mundo,Madrid,Collado Villalba,2258,1369,21.0,6.0,353,https://www.altimetrias.net/aspbk/verPuerto.asp?id=380,"[-3.980012,40.784993]",
8,Mont Caro,Tarragona,Roquetes,1436,1427,22.0,6.0,352,https://www.altimetrias.net/aspbk/verPuerto.asp?id=169,"[0.34388,40.804]",
9,Salto De La Cabra,Cantabria,La Hermida,1116,1011,10.0,9.0,346,https://www.altimetrias.net/aspbk/verPuerto.asp?id=678,"[-4.66278,43.23877]",
10,Calar Alto,Almería,Tíjola,2162,1507,32.0,4.0,333,https://www.altimetrias.net/aspbk/verPuerto.asp?id=741,"[-2.546995,37.22212]",
11,Carrascoy,Murcia,MU - 603,1058,868,9.0,9.0,322,https://www.altimetrias.net/aspbk/verPuerto.asp?id=251,"[-1.270988,37.844234]",
12,Oiz,Bizkaia,Gernika,1019,1012,20.0,5.0,313,https://www.altimetrias.net/aspbk/verPuerto.asp?id=671,"[-2.592034,43.227544]",
13,Haza Del Lino,Granada,Rubite,1302,1291,22.0,5.0,312,https://www.altimetrias.net/aspbk/verPuerto.asp?id=542,"[-3.306348,36.813207]",
14,Peñas Blancas-Los Reales,Málaga,Estepona,1447,1442,21.0,6.0,310,https://www.altimetrias.net/aspbk/verPuerto.asp?id=315,"[-5.207729,36.48479]",
15,Velefique-Tetica De Bacares,Almería,Velefique,2076,1392,23.0,5.0,307,https://www.altimetrias.net/aspbk/verPuerto.asp?id=363,"[-2.412761,37.251943]",
16,Pradell,Barcelona,Guardiola de Berguedà,1732,1027,14.0,6.0,301,https://www.altimetrias.net/aspbk/verPuerto.asp?id=480,"[1.770284,42.201164]",
17,Fonte Da Cova-Collada Trevinca,Ourense,Sobradelo,1837,1507,27.0,5.0,301,https://www.altimetrias.net/aspbk/verPuerto.asp?id=290,"[-6.731708,42.313379]",
