ID,name,ccaa,province,start,midpoint,trailrank,distance,gradient,min_alt,max_alt,municipality,mountain_passes_ids,municipalities_ids
923,"ANGLIRU, CIRCULAR DESDE LA PLAZA, TEVERGA",,,"[-6.101982,43.158859]","[-5.939921,43.235847]",67,124,3476,101,1566,,[0],
5611,"Pola de Lena, Cobertoria, Gamoniteiro, Tenebredo, Angliru, Cordal, Pola de Lena",,,"[-5.8297,43.155729]","[-5.929957,43.288199]",51,118,4234,102,1700,,"[0, 1, 84, 131]",
5490,PEÑA ESCRITA (POR ALMUÑECAR),,,"[-3.743127,36.734975]","[-3.762692,36.818439]",42,45,1481,6,1191,,[2],
881,Ancares-Pandozarco,,,"[-7.157974,42.852246]","[-6.844199,42.889535]",55,130,2861,289,1651,,"[3, 182, 1109]",
5618,POLA DE LENA - PUERTO DE PAJARES - CUITU NEGRU - ALTO DE LA CUBILLA - POLA DE LENA,,,"[-5.806177,43.128166]","[-5.829091,43.083221]",42,121,2917,344,1824,,"[4, 51, 69, 438]",
3467,"Granada, Lanjarón, Orgiva, Torvizcón, Contraviesa, Puerto Camacho, Orgiva y vuelta",,,"[-3.609443,37.156292]","[-3.275512,36.854694]",89,158,2450,242,1186,,"[5, 13]",
5630,Ponferrada - Peña Trevinca - Portillinos,,,"[-6.598849,42.556634]","[-6.708998,42.29604]",61,157,3201,342,1960,,"[6, 17, 32, 407]",
4740,Miraflores-Morcuera-Cotos-Bola del mundo-Miraflores,,,"[-3.770706,40.812061]","[-3.996795,40.785964]",46,100,2354,1035,2251,,"[7, 148, 157, 229]",
8329,Volta al Parc Natural dels Ports amb ascens al Caro en dos dies-octubre de 2018,,,"[0.15549,40.873539]","[0.368356,40.826121]",85,259,5111,0,1438,,"[8, 435]",
6550,Salto de la cabra-Fuente De desde Potes,,,"[-4.609893,43.15849]","[-4.602693,43.170711]",39,99,2779,94,1101,,"[9, 657, 838]",
7252,Tabernas - Velefique - Tetica de Bacares - Calar Alto - Tabernas,,,"[-2.391882,37.050099]","[-2.492193,37.26823]",80,122,3283,412,2164,,"[10, 15, 29, 64, 77]",
691,Aljucer-inchola-carrascoy,,,"[-1.153612,37.957681]","[-1.30439,37.831406]",15,73,1367,49,1064,,[11],
4894,"Monte Oiz por Iurreta, Durango, saliendo de Elgoibar",,,"[-2.421881,43.209405]","[-2.612288,43.22764]",48,75,1419,18,1018,,"[12, 417, 699, 1039, 1096, 1110]",
5257,"Orgiva, Haza del Lino, Los Yesos, Motril - Granada - 26-12-2012",,,"[-3.596787,37.182303]","[-3.262158,36.758787]",66,214,3043,7,1275,,[13],
120,138km/Ronda/Algatocin/Jubrique/Jenalguacil/Peñas blancas/Pico los Reales/Ronda,,,"[-5.147178,36.75532]","[-5.202558,36.482633]",24,138,4166,240,1458,,"[14, 426]",
714,ALMERÍA. SIERRA DE LOS FILABRES. Los Pueblos del Interior/ Tahal- Benitagla- Benizalón- Uleila del Campo- Cóbdar- Chercos,,,"[-2.439974,37.345602]","[-2.45027,37.182362]",61,95,2405,671,2163,,"[10, 15, 29, 64, 77]",
1489,Berga-Coll de Fumanya-Coll de Pradell-Coll de Josa-Coll de Port-Coll de Jouet-Berga,,,"[1.853583,42.107265]","[1.568165,42.230493]",65,115,4117,632,1745,,"[16, 260, 808]",
5147,O Barco-Puente df-Pombriego-Silvan-Gobernadas-Fonte da Cova-Sobradelo,,,"[-6.993183,42.419836]","[-6.678986,42.298614]",37,105,2659,325,1809,,"[17, 407]",
6727,Sant Celoni - Turó de l'Home - Sant Celoni,,,"[2.490418,41.68586]","[2.450068,41.760025]",60,52,2084,144,1699,,[18],
8589,Jaén/La Pandera/Martos/Jaen,,,"[-3.792983,37.75714]","[-3.831995,37.652074]",39,91,2602,583,1843,,[19],
2193,Chandrexa - Castro Caldelas - Trives - Ermidas - Manzaneda - Chandrexa,,,"[-7.38071,42.26066]","[-7.21468,42.33374]",54,127,3418,317,1771,,"[20, 383]",
9500,San Vicent del Raspeig,,,"[-0.526918,38.40311]","[-0.093333,38.6339]",19,140,2302,18,672,,[21],
8326,"Granada, Guadix, puerto de la Ragua",,,"[-3.599795,37.159726]","[-3.049014,37.172633]",88,199,3146,649,2033,,"[22, 490, 1030]",
5044,Nafarroak - Artesiaga - Urkiaga - Orzanzurrieta,,,"[-1.352348,42.972313]","[-1.42872,43.08615]",28,136,3327,148,1542,,"[24, 152, 617]",
5752,Pto.Aiurdin-Llodio-REPETIDOR PAGOLAR-Pto.altube-Pto.Aiurdin-Vit.,,,"[-2.699593,42.864494]","[-3.00706,43.131296]",14,111,1578,22,631,,"[26, 326]",
5935,Pujada als Rasos de Peguera (1.836m.) - Berga. 040616,,,"[1.85487,42.108059]","[1.765188,42.138233]",83,36,1215,781,1951,,[27],
3422,Grado - Marabio - San Lorenzo - Belmonte - Alto Cabruñana,,,"[-6.065119,43.393424]","[-6.163024,43.149475]",54,113,3395,65,1389,,"[28, 60, 476]",
7005,"Sierra de Los Filabres. Serón, Las Menas, Calar Alto. Alto de Velefique, Bacares, Tijola, Serón",,,"[-2.506767,37.344774]","[-2.442583,37.182182]",79,127,3558,686,2146,,"[10, 29, 64, 77]",
5518,PICOS DE EUROPA: Ascenso a Lagos de Covadonga,,,"[-5.059748,43.312388]","[-5.022726,43.296776]",66,13,1014,181,1129,,[30],
1583,Bicyclesleep Fuengirola Road Cerro del Moro by CC Tamixa,,,"[-4.618469,36.547291]","[-4.616902,36.610414]",40,52,1490,1,942,,[31],
