ID,name,ccaa,province,start,midpoint,trailrank,distance,gradient,min_alt,max_alt,municipality,mountain_passes_ids,municipalities_ids,difficulty_score
923,Angliru por Oviedo y Lena.,,,"[-6.101982,43.158859]","[-5.939921,43.235847]",67,124,3476,101,1566,,[0],"[5039, 5027, 5020, 5067]",8
5611,Angliru y Gamoniteiro por Oviedo y Lena.,,,"[-5.8297,43.155729]","[-5.929957,43.288199]",51,118,4234,102,1700,,"[0, 1, 84, 131]","[5039, 5027, 5067]",10
881,Ancares y Sierra De Morela por Cervantes y Ibias.,,,"[-7.157974,42.852246]","[-6.844199,42.889535]",55,130,2861,289,1651,,"[3, 182, 1109]","[4245, 5022]",7
5618,Pajares-Cuitu Negru y La Cubilla por Lena.,,,"[-5.806177,43.128166]","[-5.829091,43.083221]",42,121,2917,344,1824,,"[4, 51, 69, 438]",[5027],7
3467,Puerto Camacho y Haza Del Lino por Dúrcal y Órgiva.,,,"[-3.609443,37.156292]","[-3.275512,36.854694]",89,158,2450,242,1186,,"[5, 13]","[2747, 2806, 2818]",7
5630,Morredero - Portillinos y Fonte Da Cova-Collada Trevinca por Ponferrada y O Barco de Valdeorras.,,,"[-6.598849,42.556634]","[-6.708998,42.29604]",61,157,3201,342,1960,,"[6, 17, 32, 407]","[3723, 4910]",8
4740,Navacerrada-Bola Del Mundo y Morcuera por Rascafría.,,,"[-3.770706,40.812061]","[-3.996795,40.785964]",46,100,2354,1035,2251,,"[7, 148, 157, 229]",[4416],6
6550,Salto De La Cabra y Fuente Dé por Potes.,,,"[-4.609893,43.15849]","[-4.602693,43.170711]",39,99,2779,94,1101,,"[9, 657, 838]",[5832],7
7252,Calar Alto y Velefique-Tetica De Bacares por Gérgal.,,,"[-2.391882,37.050099]","[-2.492193,37.26823]",80,122,3283,412,2164,,"[10, 15, 29, 64, 77]",[325],8
691,Carrascoy por Murcia y Alhama de Murcia.,,,"[-1.153612,37.957681]","[-1.30439,37.831406]",15,73,1367,49,1064,,[11],"[4613, 4591]",4
4894,Oiz y Monte Oiz por Durango.,,,"[-2.421881,43.209405]","[-2.612288,43.22764]",48,75,1419,18,1018,,"[12, 417, 699, 1039, 1096, 1110]",[7525],4
5257,Haza Del Lino por Motril y Dúrcal.,,,"[-3.596787,37.182303]","[-3.262158,36.758787]",66,214,3043,7,1275,,[13],"[2800, 2747, 2806, 2818]",8
120,Peñas Blancas-Los Reales y Encinas Borrachas por Estepona y Ronda.,,,"[-5.147178,36.75532]","[-5.202558,36.482633]",24,138,4166,240,1458,,"[14, 426]","[4531, 4563, 4526]",10
714,Calar Alto y Velefique-Tetica De Bacares por Tíjola y Gérgal.,,,"[-2.439974,37.345602]","[-2.45027,37.182362]",61,95,2405,671,2163,,"[10, 15, 29, 64, 77]","[368, 325]",6
1489,Pradell y Josa por Berga.,,,"[1.853583,42.107265]","[1.568165,42.230493]",65,115,4117,632,1745,,"[16, 260, 808]",[887],10
5147,Fonte Da Cova-Collada Trevinca y Fonte Da Cova por O Barco de Valdeorras.,,,"[-6.993183,42.419836]","[-6.678986,42.298614]",37,105,2659,325,1809,,"[17, 407]",[4910],6
6727,Turó De L´Home por Sant Celoni.,,,"[2.490418,41.68586]","[2.450068,41.760025]",60,52,2084,144,1699,,[18],[1065],5
8589,La Panadera por Jaén y Martos.,,,"[-3.792983,37.75714]","[-3.831995,37.652074]",39,91,2602,583,1843,,[19],"[3565, 3575]",6
9500,Sierra De Bernia por Alicante y Benidorm.,,,"[-0.526918,38.40311]","[-0.093333,38.6339]",19,140,2302,18,672,,[21],"[151, 168, 247]",6
8326,La Ragua y Puerto De La Ragua por Guadix.,,,"[-3.599795,37.159726]","[-3.049014,37.172633]",88,199,3146,649,2033,,"[22, 490, 1030]",[2761],8
5044,Ibañeta-Ortzanzurieta y Artesiaga por Baztan y Esteribar.,,,"[-1.352348,42.972313]","[-1.42872,43.08615]",28,136,3327,148,1542,,"[24, 152, 617]","[4679, 4727]",8
5752,Pagolar y Altube por Vitoria-Gasteiz y Zuia.,,,"[-2.699593,42.864494]","[-3.00706,43.131296]",14,111,1578,22,631,,"[26, 326]","[44, 48]",5
5935,Rasos De Peguera por Berga.,,,"[1.85487,42.108059]","[1.765188,42.138233]",83,36,1215,781,1951,,[27],[887],3
3422,San Lorenzo y Maravio por Grado y Teverga.,,,"[-6.065119,43.393424]","[-6.163024,43.149475]",54,113,3395,65,1389,,"[28, 60, 476]","[5020, 5067]",8
7005,Calar Alto y Venta Luisa - Calar Alto por Tíjola y Gérgal.,,,"[-2.506767,37.344774]","[-2.442583,37.182182]",79,127,3558,686,2146,,"[10, 29, 64, 77]","[368, 325]",8
1147,Morredero - Portillinos y Peña Aguda-Llano De Las Ovejas por Ponferrada.,,,"[-6.055069,42.451794]","[-6.514539,42.448898]",43,176,2546,521,1949,,"[6, 32, 80]",[3723],7
7021,Morrón De Espuña-Collado Bermejo por Alhama de Murcia.,,,"[-1.873901,37.492565]","[-1.539463,37.861992]",49,157,1668,191,1547,,[33],[4591],6
9332,Picón Del Fraile y Lunada por Medina de Pomar y Espinosa de los Monteros.,,,"[-3.507419,42.934142]","[-3.642084,43.180695]",23,98,1442,576,1576,,"[34, 58]","[1337, 1274]",4
4222,El Yelmo por Santiago-Pontones.,,,"[-2.725869,38.247247]","[-2.637466,38.110885]",64,129,3509,721,1778,,[37],[3615],8
2513,Moncalvillo por Nájera.,,,"[-2.923907,42.566479]","[-2.612488,42.343689]",33,119,1683,429,1496,,[38],[4158],5
4034,Lagunas De Neila y Lagunas De Neila por Covaleda.,,,"[-2.763541,41.925845]","[-2.986523,42.128177]",56,134,2324,822,1864,,"[41, 89, 176]",[6259],6
1560,San Lorenzo y La Farrapona por Villablino y Teverga.,,,"[-6.2549,43.092808]","[-6.122492,43.15669]",47,117,3843,454,1713,,"[28, 42, 90, 430]","[3800, 5067]",8
2774,Azurki y Ixua por Azkoitia.,,,"[-2.462779,43.186947]","[-2.383,43.294933]",62,68,1541,13,679,,"[46, 281, 449, 1003]",[3165],4
382,El Boyar - Las Palomas y Las Palomas por Ronda y Olvera.,,,"[-5.413201,36.875963]","[-5.329667,36.800362]",64,88,2122,292,1174,,"[47, 119]","[4563, 1794, 1789]",5
6687,Collfred y Bracons por La Vall d'en Bas.,,,"[2.256315,42.127082]","[2.439988,42.130716]",70,74,1858,495,1305,,"[49, 101]",[2659],5
5537,San Glorio y Piedrasluengas por Potes y Velilla del Río Carrión.,,,"[-4.498618,42.865809]","[-4.724851,43.084869]",42,167,2118,331,1586,,"[50, 87]","[5832, 5223]",6
802,La Cubilla y Pajares por Lena.,,,"[-5.659714,42.941243]","[-5.913533,43.007108]",44,112,1948,362,1611,,"[51, 69, 689]",[5027],5
7231,Mondúver y Montdúver por València y Alzira.,,,"[-0.38679,39.44611]","[-0.33532,39.04384]",51,122,1187,0,832,,"[52, 424, 447, 1066]","[7257, 7024, 7073]",4
4504,Collao Espina y Lunada por Ramales de la Victoria y Espinosa de los Monteros.,,,"[-3.467357,43.255492]","[-3.655925,43.171362]",48,99,3056,58,1333,,"[53, 58, 61, 285]","[5834, 1274]",7
2516,Picón Blanco y El Cabrio por Zalla y Valle de Mena.,,,"[-2.971636,43.271806]","[-3.542082,43.129643]",38,152,2139,12,1514,,"[54, 314]","[7594, 1484, 1274]",6
3499,Trevélez por Dúrcal y Órgiva.,,,"[-3.59689,37.182318]","[-3.305722,36.906417]",80,190,2931,316,1526,,[55],"[2747, 2806]",8
5226,Mas De La Costa y El Colladico por Onda y Llucena.,,,"[-0.263892,39.968887]","[-0.294328,40.16032]",38,99,3399,139,980,,"[56, 773]","[1893, 1881]",7
4347,Lunada y Collado De Asón - La Sía por Espinosa de los Monteros.,,,"[-3.743744,43.345545]","[-3.578737,43.125442]",69,95,2240,35,1234,,"[58, 61, 285]",[1274],6
261,Maravio y Marabio por Oviedo y Grado.,,,"[-5.84859,43.358145]","[-6.13914,43.239102]",42,106,1533,61,1063,,"[60, 476]","[5039, 5020, 5067]",5
2294,Lunada y Collado De Asón - La Sía por Espinosa de los Monteros.,,,"[-3.743755,43.344127]","[-3.571267,43.153164]",62,96,2372,49,1313,,"[58, 61, 285]",[1274],6
6267,El Escudo por Reinosa.,,,"[-3.848887,42.972988]","[-4.319016,43.012913]",37,135,2098,827,1995,,[62],[5836],6
8410,Torcal De Antequera y La Joya por Málaga y Antequera.,,,"[-4.459712,36.720072]","[-4.520297,36.967194]",50,119,2569,53,1212,,"[63, 455]","[4547, 4495, 4491]",6
1802,Calar Alto y Venta Luisa - Calar Alto por Gérgal.,,,"[-2.53222,37.113908]","[-2.445343,37.265162]",77,113,3057,697,2160,,"[10, 29, 64, 77]",[325],7
2527,Cruz De La Demanda por Ezcaray.,,,"[-3.009449,42.327301]","[-3.019216,42.30764]",56,100,2700,808,1860,,[65],[4120],6
2446,Pajares y Millaró De La Tercia por La Robla.,,,"[-5.635786,42.821149]","[-5.737722,42.989377]",49,147,2491,970,1532,,"[69, 813, 843, 866, 937, 1062]",[3740],7
