ID,municipality,ccaa,province,municipality_inhabitants,geographic_area,radius,routes_number,routes_ids,mountain_passes_ids,coords
7609,Arratzu,País Vasco,Bizkaia,413,10.0585,1.7893329771686128,24,"[8365, 1525, 7133, 7133, 311, 9764, 8365, 7133, 7133, 7133, 7133, 7133, 4934, 7133, 7133, 8365, 7133, 8365, 7133, 1029, 1028, 8365, 7133, 7133]",,"[-2.64115701,43.30524234]"
7608,Zierbena,País Vasco,Bizkaia,1520,12.1542,1.966924749891096,14,"[1609, 6936, 7199, 1609, 6929, 5694, 5694, 1618, 1618, 8476, 1618, 10329, 6931, 1587]",,"[-3.0901373,43.34554558]"
7607,Alonsotegi,País Vasco,Bizkaia,2879,20.2176,2.536818264289963,39,"[2516, 1282, 3290, 8365, 1609, 6936, 4749, 32, 7199, 8668, 1609, 2929, 8365, 5694, 5694, 2261, 9720, 6940, 4934, 1618, 1618, 8476, 1282, 4489, 1618, 1280, 2261, 8365, 4749, 2261, 6244, 8365, 8381, 2261, 10325, 8365, 1613, 8590, 1587]",,"[-2.98785093,43.24467414]"
7603,Murueta,País Vasco,Bizkaia,319,5.6299,1.338674208923468,26,"[8365, 1525, 7133, 1521, 7133, 311, 9764, 8365, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 3253, 8365, 7133, 8365, 7133, 1029, 1521, 1028, 8365, 7133, 7133]",,"[-2.68171532,43.35143893]"
7602,Kortezubi,País Vasco,Bizkaia,442,11.861,1.9430555142216304,25,"[8365, 1525, 7133, 7133, 311, 9764, 8365, 7133, 7133, 7133, 7133, 7133, 4934, 7133, 7133, 3253, 8365, 7133, 8365, 7133, 1029, 1028, 8365, 7133, 7133]",,"[-2.65598385,43.34124315]"
7601,Forua,País Vasco,Bizkaia,907,7.6323,1.5586631654255492,28,"[8365, 1525, 7133, 7133, 311, 9764, 8724, 8365, 7133, 7133, 7133, 7133, 7133, 4934, 7133, 7133, 8724, 8724, 3253, 8365, 7133, 8365, 7133, 1029, 1028, 8365, 7133, 7133]",,"[-2.67688483,43.3316154]"
7599,Sondika,País Vasco,Bizkaia,4547,6.846,1.4761925297964145,11,"[8724, 9720, 4934, 8724, 8724, 8604, 1572, 1028, 9992, 181, 4191]",,"[-2.92585198,43.29792175]"
7598,Loiu,País Vasco,Bizkaia,2394,15.021400000000002,2.1866524514000045,25,"[8365, 1609, 7199, 1609, 2929, 8724, 8365, 5694, 5694, 6940, 4934, 8724, 8476, 8724, 8365, 8604, 6244, 8365, 1572, 1028, 9992, 8365, 1587, 181, 4191]",,"[-2.93964386,43.3139581]"
7597,Erandio,País Vasco,Bizkaia,24530,18.1701,2.4049342897719064,44,"[2516, 1282, 3290, 8365, 1609, 6936, 4749, 32, 7199, 8668, 1609, 6929, 2929, 8724, 8365, 5694, 5694, 6940, 4934, 1618, 1618, 8724, 8476, 1282, 4489, 1618, 1280, 8724, 8365, 4749, 8604, 6244, 10329, 8365, 10325, 1572, 6931, 1028, 9992, 8365, 1613, 8590, 1587, 4191]",,"[-2.975457687,43.30288679]"
7596,Derio,País Vasco,Bizkaia,6730,10.1525,1.7976744873630253,17,"[8365, 8724, 8365, 9720, 4934, 8724, 8724, 3253, 8365, 8604, 8365, 1572, 1028, 9992, 8365, 181, 4191]",,"[-2.88697,43.291325]"
7595,Zaratamo,País Vasco,Bizkaia,1631,10.183,1.8003727367803566,16,"[1282, 4730, 182, 182, 182, 9720, 9561, 1282, 3253, 8604, 8804, 1029, 1572, 1028, 1613, 181]",,"[-2.87342601,43.21181803]"
7594,Zalla,País Vasco,Bizkaia,8450,31.077800000000003,3.1452103027031755,19,"[2516, 6936, 4749, 9189, 3270, 5694, 5694, 6940, 4934, 1618, 1618, 8476, 1618, 4749, 10325, 1003, 9701, 1613, 8590]",,"[-3.12995548,43.2133741]"
7593,Zaldibar,País Vasco,Bizkaia,3045,11.652,1.9258603585677825,22,"[4894, 3289, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 3289, 7133, 7133, 4894, 7133, 4894, 7133, 9477, 7133, 4894, 7133, 4894, 4894]",,"[-2.5464943,43.17178892]"
7592,Igorre,País Vasco,Bizkaia,4337,17.0878,2.3322098863328824,15,"[1282, 1525, 8259, 311, 182, 182, 182, 1282, 3744, 3744, 3744, 8804, 1029, 1028, 4306]",,"[-2.77771877,43.16481092]"
7590,Bedia,País Vasco,Bizkaia,1061,16.3694,2.282658464688053,18,"[1282, 1525, 311, 182, 182, 182, 1282, 3253, 3744, 8604, 3744, 3744, 8804, 1029, 1572, 1028, 4306, 181]",,"[-2.79993623,43.20954265]"
7589,Atxondo,País Vasco,Bizkaia,1335,23.241,2.719893888641581,22,"[4894, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 4894, 7133, 3744, 3744, 4894, 3744, 7133, 7133, 4894, 7133, 4894, 4894]",,"[-2.58455772,43.13051163]"
7588,Balmaseda,País Vasco,Bizkaia,7722,22.3736,2.6686553572612297,17,"[2516, 4749, 9189, 3270, 5694, 5694, 6940, 4934, 1618, 1618, 7995, 1618, 4749, 10325, 1003, 9701, 8590]",,"[-3.19266525,43.1962765]"
7585,Trucios-Turtzioz,País Vasco,Bizkaia,509,25.9943,2.876494972304647,7,"[9189, 5694, 5694, 1618, 1618, 1618, 1003]",,"[-3.25648039,43.2724303]"
7584,Sopuerta,País Vasco,Bizkaia,2570,42.5588,3.680605263496567,17,"[6936, 4749, 9189, 6929, 3270, 5694, 5694, 4934, 1618, 1618, 8476, 1618, 4749, 10329, 6931, 1003, 9701]",,"[-3.15384888,43.2613395]"
7583,Sopela,País Vasco,Bizkaia,14120,8.4258,1.637684086539063,14,"[8365, 1521, 8724, 8365, 4934, 8724, 8724, 8365, 8604, 8365, 1572, 1521, 1028, 8365]",,"[-2.98329187,43.38033648]"
7582,Sestao,País Vasco,Bizkaia,27452,3.5785,1.0672718791710312,30,"[1282, 8365, 1609, 6936, 4749, 7199, 1609, 6929, 2929, 8365, 5694, 5694, 6940, 4934, 1618, 1618, 8476, 1282, 1618, 1280, 8365, 4749, 8604, 6244, 10329, 8365, 1572, 6931, 8365, 1587]",,"[-3.0066296,43.31113782]"
