ID,municipality,ccaa,province,municipality_inhabitants,geographic_area,radius,routes_number,routes_ids,mountain_passes_ids,coords
884,Barcelona,Cataluña,Barcelona,1664182,100.7644,5.663411488835749,4,"[1292, 1732, 6228, 8149]",,"(41.38424664,2.17634927)"
7257,València,Comunitat Valenciana,Valencia,800215,139.2687,6.658115377640355,9,"[528, 1469, 1472, 2478, 5225, 7040, 7231, 7734, 8540]",,"(39.47534441,-0.37565717)"
4547,Málaga,Andalucía,Málaga,578460,395.7069,11.223062138231008,10,"[2933, 4541, 4546, 5035, 5997, 5998, 8379, 8410, 8425, 8435]",,"(36.72034267,-4.41997511)"
4613,Murcia,Región de Murcia,Murcia,459403,885.1149,16.785117343870944,7,"[691, 1691, 6089, 6769, 7049, 8099, 8196]",,"(37.98436361,-1.1285408)"
7518,Bilbao,País Vasco,Bizkaia,350184,41.3426,3.627633874493757,42,"[32, 181, 182, 1070, 1280, 1282, 1504, 1572, 1587, 1609, 1613, 1616, 1618, 2261, 2516, 2929, 3251, 3252, 3253, 3290, 4191, 4489, 4730, 4749, 4934, 5694, 6244, 6933, 6936, 6940, 8365, 8381, 8476, 8590, 8604, 8724, 8866, 9561, 9720, 9957, 9992, 10325]",,"(43.25721957,-2.92390606)"
151,Alicante,Comunitat Valenciana,Alicante,337482,201.265845,8.004046376887215,9,"[621, 629, 647, 680, 1469, 3189, 8145, 9500, 9550]",,"(38.34548705,-0.4831832)"
2076,Córdoba,Andalucía,Córdoba,326039,1254.9326,19.98640835596093,4,"[2459, 5791, 8023, 8438]",,"(37.87954225,-4.78032455)"
5018,Gijón,Asturias,Asturias,271717,183.9527,7.6520471820216125,3,"[3378, 3381, 3502]",,"(43.53920222,-5.65949323)"
44,Vitoria-Gasteiz,País Vasco,Álava,253996,276.6596,9.384203741255702,22,"[93, 311, 1026, 1056, 1854, 3147, 3200, 3305, 3306, 3307, 3310, 3311, 3411, 5752, 7522, 7597, 8047, 8054, 8057, 8428, 8755, 9585]",,"(42.85058789,-2.67275685)"
2759,Granada,Andalucía,Granada,233648,88.11,5.295868057966981,30,"[1520, 2455, 2764, 2784, 3434, 3447, 3449, 3453, 3454, 3460, 3467, 3499, 3501, 3747, 3927, 4006, 4127, 4400, 4759, 4761, 5257, 5727, 5760, 5889, 5938, 5941, 6393, 6680, 7028, 8326]",,"(37.17641932,-3.60001883)"
5039,Oviedo,Asturias,Asturias,219910,186.651726,7.707979678602224,12,"[261, 265, 923, 925, 2255, 3381, 3987, 4340, 4485, 5310, 5325, 5611]",,"(43.36232165,-5.84372206)"
4599,Cartagena,Región de Murcia,Murcia,216108,560.1864,13.353368573271268,3,"[1641, 2065, 4970]",,"(37.60017342,-0.98210494)"
4830,Pamplona,Navarra,Navarra,203944,25.1367,2.828646567822352,10,"[2231, 2601, 3068, 5366, 6807, 7563, 8115, 8351, 8407, 8508]",,"(42.814102,-1.6451528)"
3217,Donostia,País Vasco,Gipuzkoa,188240,60.889045,4.402447008348774,28,"[226, 253, 334, 1362, 2719, 2722, 2724, 2728, 2730, 3147, 3407, 3605, 3641, 3771, 4198, 4988, 7133, 7243, 7629, 7630, 7631, 7636, 7639, 7640, 7648, 8287, 8913, 9654]",,"(43.31717158,-1.98191785)"
1224,Burgos,,Burgos,176418,107.062581,5.837722011292644,4,"[6265, 7766, 8116, 8158]",,"(42.34113004,-3.70419805)"
1853,Castelló de la Plana,Comunitat Valenciana,Castellón,174264,111.3254,5.952805434316976,3,"[2045, 2049, 9467]",,"(39.98640809,-0.03688142)"
4147,Logroño,La Rioja,La Rioja,152485,78.9739,5.013792410605344,7,"[4388, 4389, 4391, 8138, 8394, 8755, 10362]",,"(42.46644945,-2.44565538)"
3698,León,,León,124028,39.034554,3.5249192027322667,4,"[885, 1841, 4340, 9705]",,"(42.59912097,-5.56707631)"
3565,Jaén,Andalucía,Jaén,112757,424.2281,11.62048546553887,6,"[3854, 8589, 8695, 8765, 8827, 9678]",,"(37.7651913,-3.7903594)"
4956,Ourense,Galicia,Ourense,105643,84.7715,5.194568645938462,5,"[1158, 2769, 5288, 5299, 6603]",,"(42.33553117,-7.863836656)"
7511,Barakaldo,País Vasco,Bizkaia,101486,24.9856,2.8201320703685786,41,"[32, 1070, 1280, 1282, 1572, 1587, 1609, 1613, 1616, 1618, 2261, 2516, 2929, 3251, 3290, 3907, 4191, 4489, 4629, 4749, 4934, 5694, 6244, 6929, 6931, 6933, 6936, 6940, 7199, 8365, 8421, 8445, 8476, 8590, 8604, 8724, 9303, 9957, 9992, 10325, 10329]",,"(43.29567704,-2.99732045)"
2209,Santiago de Compostela,Galicia,A Coruña,97848,220.0051,8.368371082899298,6,"[1157, 1538, 6291, 9322, 9335, 9724]",,"(42.87999954,-8.546107172)"
7251,Torrent,Comunitat Valenciana,Valencia,83962,69.23479999999999,4.694472257172673,4,"[1469, 1472, 7231, 7734]",,"(39.43708486,-0.46496185)"
5334,Pontevedra,Galicia,Pontevedra,83260,118.4681,6.14080444618162,3,"[429, 7903, 9153]",,"(42.43158576,-8.643672092)"
4573,Vélez-Málaga,Andalucía,Málaga,82365,158.1888,7.095980635294222,4,"[4546, 5035, 8357, 8390]",,"(36.7827081,-4.10210923)"
235,Orihuela,Comunitat Valenciana,Alicante,78505,365.3633,10.784177227878908,3,"[1691, 6769, 8196]",,"(38.08522582,-0.949954565)"
7542,Getxo,País Vasco,Bizkaia,77770,11.8727,1.9440136183439136,7,"[1572, 4629, 4934, 6933, 8365, 8445, 8604]",,"(43.36274172,-3.0180508)"
7138,Gandia,Comunitat Valenciana,Valencia,75798,60.834548000000005,4.40047642511766,8,"[768, 1469, 2248, 2923, 3543, 5671, 5903, 7231]",,"(38.96736579,-0.17941691)"
4610,Molina de Segura,Región de Murcia,Murcia,73095,169.36950000000002,7.342469625311698,3,"[6089, 7049, 8099]",,"(38.0505597,-1.21163275)"
7197,Paterna,Comunitat Valenciana,Valencia,71035,35.8514,3.3781397791847985,6,"[528, 1469, 1472, 2478, 5225, 7040]",,"(39.50273688,-0.44257379)"
168,Benidorm,Comunitat Valenciana,Alicante,70450,38.509874,3.5011490892635275,6,"[629, 647, 1444, 1469, 7023, 9500]",,"(38.53427136,-0.1306853)"
4531,Estepona,Andalucía,Málaga,70228,137.3742,6.612674475033368,3,"[120, 3117, 3128]",,"(36.42657668,-5.1463572)"
7227,Sagunto,Comunitat Valenciana,Valencia,67173,133.9221,6.529060324749417,3,"[528, 2478, 5225]",,"(39.68008485,-0.2759603)"
2168,Ferrol,Galicia,A Coruña,65560,82.651443,5.129201681845639,8,"[3172, 5149, 5588, 6920, 8675, 9657, 10055, 10155]",,"(43.48451427,-8.233353008)"
3723,Ponferrada,,León,64509,283.165,9.493893202933876,6,"[7, 1147, 2809, 5630, 8120, 9137]",,"(42.5476828,-6.59729457)"
3193,Irun,País Vasco,Gipuzkoa,62910,42.397687,3.6736319038397953,13,"[211, 226, 253, 334, 2719, 3641, 3771, 7133, 7243, 7636, 7639, 7640, 8913]",,"(43.34003194,-1.78736072)"
