ID,municipality,ccaa,province,municipality_inhabitants,geographic_area,radius,routes_number,routes_ids,mountain_passes_ids,coords,coords_MDB
884,Barcelona,Cataluña,Barcelona,1664182,100.7644,5.663411488835749,4,"[1292, 1732, 6228, 8149]","[315, 323, 822, 388]","(41.38424664,2.17634927)","[2.17634927,41.38424664]"
7257,València,Comunitat Valenciana,Valencia,800215,139.2687,6.658115377640355,9,"[528, 1469, 1472, 2478, 5225, 7040, 7231, 7734, 8540]","[112, 631, 773, 1092, 597, 533, 769, 52, 424, 447, 1066, 460, 906]","(39.47534441,-0.37565717)","[-0.37565717,39.47534441]"
4547,Málaga,Andalucía,Málaga,578460,395.7069,11.223062138231008,10,"[2933, 4541, 4546, 5035, 5997, 5998, 8379, 8410, 8425, 8435]","[86, 108, 109, 649, 171, 426, 488, 688, 700, 198, 455, 951, 63, 185, 222, 219]","(36.72034267,-4.41997511)","[-4.41997511,36.72034267]"
4613,Murcia,Región de Murcia,Murcia,459403,885.1149,16.785117343870944,7,"[691, 1691, 6089, 6769, 7049, 8099, 8196]","[11, 787, 1103, 1055, 1012, 978, 1001]","(37.98436361,-1.1285408)","[-1.1285408,37.98436361]"
151,Alicante,Comunitat Valenciana,Alicante,337482,201.265845,8.004046376887215,9,"[621, 629, 647, 680, 1469, 3189, 8145, 9500, 9550]","[956, 626, 643, 644, 429, 534, 802, 99, 1092, 788, 837, 21, 1089]","(38.34548705,-0.4831832)","[-0.4831832,38.34548705]"
2076,Córdoba,Andalucía,Córdoba,326039,1254.9326,19.98640835596093,4,"[2459, 5791, 8023, 8438]","[925, 944, 964, 568]","(37.87954225,-4.78032455)","[-4.78032455,37.87954225]"
5018,Gijón,Asturias,Asturias,271717,183.9527,7.6520471820216125,3,"[3378, 3381, 3502]","[1118, 542, 726]","(43.53920222,-5.65949323)","[-5.65949323,43.53920222]"
44,Vitoria-Gasteiz,País Vasco,Álava,253996,276.6596,9.384203741255702,22,"[93, 311, 1026, 1056, 1854, 3147, 3200, 3305, 3306, 3307, 3310, 3311, 3411, 5752, 7522, 7597, 8047, 8054, 8057, 8428, 8755, 9585]","[279, 373, 379, 712, 295, 357, 1021, 294, 386, 724, 856, 935, 364, 776, 1095, 638, 811, 883, 961, 251, 428, 686, 12, 281, 328, 353, 382, 417, 609, 1039, 1042, 1096, 1110, 26, 326, 375, 173, 266, 322, 596, 1105, 365, 1106]","(42.85058789,-2.67275685)","[-2.67275685,42.85058789]"
5039,Oviedo,Asturias,Asturias,219910,186.651726,7.707979678602224,12,"[261, 265, 923, 925, 2255, 3381, 3987, 4340, 4485, 5310, 5325, 5611]","[60, 476, 131, 1056, 1071, 0, 986, 719, 884, 542, 78, 69, 1098, 145, 463, 545, 954, 1, 84]","(43.36232165,-5.84372206)","[-5.84372206,43.36232165]"
4599,Cartagena,Región de Murcia,Murcia,216108,560.1864,13.353368573271268,3,"[1641, 2065, 4970]","[339, 694, 274]","(37.60017342,-0.98210494)","[-0.98210494,37.60017342]"
4830,Pamplona,Navarra,Navarra,203944,25.1367,2.828646567822352,10,"[2231, 2601, 3068, 5366, 6807, 7563, 8115, 8351, 8407, 8508]","[286, 957, 946, 871, 984, 391, 378, 394, 441, 988, 617, 152, 396, 916, 1080]","(42.814102,-1.6451528)","[-1.6451528,42.814102]"
